pipeline,competitor,replication_type,ads,winners,win_ratio
facebook,speakeasy,unique,188,32,0.17
facebook,speakeasy,original,80,15,0.188
facebook,speakeasy,exact_replica,49,2,0.041
facebook,speakeasy,reworded_replica,48,12,0.25
facebook,speakeasy,translation_replica,30,0,0.0
facebook,speakeasy,character_variant,7,1,0.143
facebook,speakeasy,visual_variant,6,1,0.167
