pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,loora,2026-05-25,25,2,51,51,0,39,0.765
facebook,loora,2026-06-01,3,0,9,5,2,6,0.667
facebook,loora,2026-06-08,1,0,12,1,10,9,0.75
facebook,loora,2026-06-15,5,0,37,9,28,0,0.0
facebook,loora,2026-06-22,3,1,29,3,26,5,0.172
