pipeline,competitor,replication_type,n_replicas,median_days_to_replica,mean_days_to_replica,min_days_to_replica,max_days_to_replica
facebook,wispr-flow,exact_replica,156,0.0,0.5,0,19
facebook,wispr-flow,reworded_replica,18,0.0,0,0,0
facebook,wispr-flow,visual_variant,6,0.0,0,0,0
facebook,wispr-flow,ALL,180,0.0,0.4,0,19
