pipeline,competitor,device_format,ads,winners,win_ratio
facebook,duolingo,app-screencast,22,14,0.636
facebook,duolingo,other,6,4,0.667
facebook,duolingo,listicle-montage,6,0,0.0
facebook,duolingo,skit-narrative,3,2,0.667
facebook,duolingo,text-on-screen-only,2,0,0.0
facebook,duolingo,split-screen,1,1,1.0
