pipeline,competitor,replication_type,ads,winners,win_ratio
facebook,pw-talk,unique,53,36,0.679
facebook,pw-talk,original,28,20,0.714
facebook,pw-talk,reworded_replica,23,13,0.565
facebook,pw-talk,exact_replica,20,16,0.8
facebook,pw-talk,visual_variant,13,11,0.846
facebook,pw-talk,character_variant,2,0,0.0
