pipeline,competitor,device_format,ads,winners,win_ratio
facebook,english-seekho,skit-narrative,1071,65,0.061
facebook,english-seekho,talking-head,413,41,0.099
facebook,english-seekho,split-screen,270,39,0.144
facebook,english-seekho,pen-and-paper,25,0,0.0
facebook,english-seekho,app-screencast,19,2,0.105
facebook,english-seekho,other,18,3,0.167
facebook,english-seekho,listicle-montage,12,0,0.0
facebook,english-seekho,text-on-screen-only,8,0,0.0
