pipeline,competitor,bucket,ads,winners,win_ratio
facebook,lingo-ai,ai_plus_ai,111,8,0.072
facebook,lingo-ai,other,32,2,0.062
facebook,lingo-ai,paper_translation,3,3,1.0
facebook,lingo-ai,human_only,3,0,0.0
facebook,lingo-ai,split_screen,15,0,0.0
facebook,lingo-ai,TOTAL,149,13,0.087
