pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,speakeasy,speak-correctly,153,28,0.183
facebook,speakeasy,fear-shame,42,11,0.262
facebook,speakeasy,habit-aspiration,34,5,0.147
facebook,speakeasy,translation-practice,16,2,0.125
facebook,speakeasy,understand-cant-speak,14,3,0.214
facebook,speakeasy,social-proof,9,3,0.333
facebook,speakeasy,other,2,0,0.0
