pipeline,competitor,format_axis,ads,winners,win_ratio
facebook,wispr-flow,app-demo,276,4,0.014
facebook,wispr-flow,split-screen,59,1,0.017
facebook,wispr-flow,skit-narrative,35,0,0.0
facebook,wispr-flow,listicle-montage,4,1,0.25
