pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,mysivi,speak-correctly,1139,375,0.329
facebook,mysivi,habit-aspiration,198,66,0.333
facebook,mysivi,social-proof,169,53,0.314
facebook,mysivi,translation-practice,164,61,0.372
facebook,mysivi,understand-cant-speak,138,45,0.326
facebook,mysivi,fear-shame,137,68,0.496
facebook,mysivi,feature-demo,50,24,0.48
facebook,mysivi,other,44,14,0.318
