pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,speakeasy,1055960967600140,English Learning App,2026-06-22,333,333,52,0.156
facebook,speakeasy,1055960967600140,English Learning App,2026-06-29,220,76,39,0.177
