pipeline,competitor,presenter_type,ads,winners,win_ratio
facebook,lingo-ai,ai-avatar-only,87,6,0.069
facebook,lingo-ai,voiceover-only,54,5,0.093
facebook,lingo-ai,none,3,0,0.0
facebook,lingo-ai,human-only,3,0,0.0
facebook,lingo-ai,ai+human,1,1,1.0
