pipeline,competitor,format_axis,ads,winners,win_ratio
facebook,lingo-ai,skit-narrative,86,19,0.221
facebook,lingo-ai,app-demo,86,10,0.116
facebook,lingo-ai,listicle-montage,43,6,0.14
facebook,lingo-ai,split-screen,21,10,0.476
facebook,lingo-ai,other,17,6,0.353
facebook,lingo-ai,text-on-screen-only,8,2,0.25
facebook,lingo-ai,pen-and-paper,4,3,0.75
