page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-05-28
149149908445051,Memrise,1864125390937823,Image,new,2026-05-28,2026-05-28,True,1,10,1
149149908445051,Memrise,3527406234091392,Image,new,2026-05-28,2026-05-28,True,2,5,2
