pipeline,competitor,bucket,ads,winners,win_ratio
facebook,speakx,human_only,296,145,0.49
facebook,speakx,ai_plus_human,186,104,0.559
facebook,speakx,other,21,4,0.19
facebook,speakx,ai_plus_ai,4,2,0.5
facebook,speakx,paper_translation,4,4,1.0
facebook,speakx,split_screen,166,102,0.614
facebook,speakx,TOTAL,511,259,0.507
