pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,speakx,2026-05-25,167,6,189,188,0,137,0.725
facebook,speakx,2026-06-01,39,1,134,48,86,99,0.739
facebook,speakx,2026-06-08,37,0,121,42,71,47,0.388
facebook,speakx,2026-06-15,18,0,29,18,11,10,0.345
facebook,speakx,2026-06-22,42,0,121,70,47,1,0.008
facebook,speakx,2026-06-29,22,0,38,22,16,0,0.0
