pipeline,competitor,bucket,ads,winners,win_ratio
facebook,english-seekho,other,1044,41,0.039
facebook,english-seekho,human_only,1009,118,0.117
facebook,english-seekho,ai_plus_ai,350,29,0.083
facebook,english-seekho,ai_plus_human,260,28,0.108
facebook,english-seekho,paper_translation,25,0,0.0
facebook,english-seekho,split_screen,270,49,0.181
facebook,english-seekho,TOTAL,2688,216,0.08
