ad_id,page_name,version_count,distinct_start_dates,first_start,last_start,relaunch_span_days,kind,platforms_changed,aspect_changed,destination_changed,cta_changed
1493798311856053,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1494902855983792,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1502275511673890,English Seekho App,2,1,2026-07-09,2026-07-09,,simultaneous_duplicate,false,false,false,false
1509836106937658,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1511433867191268,English Seekho App,2,1,2026-06-25,2026-06-25,,simultaneous_duplicate,false,false,false,false
1515389233401695,English Seekho App,2,1,2026-07-06,2026-07-06,,simultaneous_duplicate,false,false,false,false
1525891568990663,English Seekho App,2,1,2026-05-13,2026-05-13,,simultaneous_duplicate,false,false,false,false
1526173339018159,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1533311895232520,English Seekho App,2,1,2026-07-08,2026-07-08,,simultaneous_duplicate,false,false,false,false
1535760264720059,English Seekho App,2,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1539825337820714,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1540174657524420,English Seekho App,2,1,2026-05-26,2026-05-26,,simultaneous_duplicate,false,false,false,false
1541821427355269,English Seekho App,2,1,2026-06-28,2026-06-28,,simultaneous_duplicate,false,false,false,false
1542916847365938,English Seekho App,2,1,2026-07-02,2026-07-02,,simultaneous_duplicate,false,false,false,false
1544558360369298,English Seekho App,2,1,2026-05-21,2026-05-21,,simultaneous_duplicate,false,false,false,false
1545195047093296,English Seekho App,2,1,2026-07-14,2026-07-14,,simultaneous_duplicate,false,false,false,false
1548699226788927,English Seekho App,2,1,2026-07-02,2026-07-02,,simultaneous_duplicate,false,false,false,false
1551327579687774,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1555436146233455,English Seekho App,2,1,2026-06-12,2026-06-12,,simultaneous_duplicate,false,false,false,false
1555604229303962,English Seekho App,2,1,2026-07-09,2026-07-09,,simultaneous_duplicate,false,false,false,false
1556926006042951,English Seekho App,2,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1560695732431858,English Seekho App,2,1,2026-06-28,2026-06-28,,simultaneous_duplicate,false,false,false,false
1566660068511123,English Seekho App,2,1,2026-07-05,2026-07-05,,simultaneous_duplicate,false,false,false,false
1577673830585178,English Seekho App,2,1,2026-07-06,2026-07-06,,simultaneous_duplicate,false,false,false,false
1580206837058054,English Seekho App,2,1,2026-06-28,2026-06-28,,simultaneous_duplicate,false,false,false,false
1585310353121942,English Seekho App,2,1,2026-06-23,2026-06-23,,simultaneous_duplicate,false,false,false,false
1662559071716567,English Seekho App,2,1,2026-06-28,2026-06-28,,simultaneous_duplicate,false,false,false,false
1671192670770177,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1675082266918335,English Seekho App,2,1,2026-07-06,2026-07-06,,simultaneous_duplicate,false,false,false,false
1677084740219793,English Seekho App,2,1,2026-06-18,2026-06-18,,simultaneous_duplicate,false,false,false,false
1679139356639807,English Seekho App,2,1,2026-06-19,2026-06-19,,simultaneous_duplicate,false,false,false,false
1681179916439914,English Seekho App,2,1,2026-06-24,2026-06-24,,simultaneous_duplicate,false,false,false,false
1686169769262124,English Seekho App,2,1,2026-06-22,2026-06-22,,simultaneous_duplicate,false,false,false,false
1690200915582478,English Seekho App,2,1,2026-06-20,2026-06-20,,simultaneous_duplicate,false,false,false,false
1700880501155696,English Seekho App,2,1,2026-07-07,2026-07-07,,simultaneous_duplicate,false,false,false,false
1703849837598003,English Seekho App,2,1,2026-07-06,2026-07-06,,simultaneous_duplicate,false,false,false,false
1704291267490365,English Seekho App,2,1,2026-07-12,2026-07-12,,simultaneous_duplicate,false,false,false,false
1715147456185960,English Seekho App,2,1,2026-07-01,2026-07-01,,simultaneous_duplicate,false,false,false,false
1721845649232241,English Seekho App,2,1,2026-06-23,2026-06-23,,simultaneous_duplicate,false,false,false,false
1739759297475313,English Seekho App,2,1,2026-06-22,2026-06-22,,simultaneous_duplicate,false,false,false,false
1740293920540298,English Seekho App,2,1,2026-07-14,2026-07-14,,simultaneous_duplicate,false,false,false,false
1747037196719891,English Seekho App,2,1,2026-07-05,2026-07-05,,simultaneous_duplicate,false,false,false,false
1748285756361960,English Seekho App,2,1,2026-06-25,2026-06-25,,simultaneous_duplicate,false,false,false,false
1752275316212862,English Seekho App,2,1,2026-07-05,2026-07-05,,simultaneous_duplicate,false,false,false,false
