pipeline,competitor,replication_type,ads,winners,win_ratio
facebook,loora,exact_replica,65,46,0.708
facebook,loora,original,19,14,0.737
facebook,loora,translation_replica,18,10,0.556
facebook,loora,unique,18,10,0.556
facebook,loora,reworded_replica,14,10,0.714
facebook,loora,visual_variant,1,1,1.0
