pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,englishbhashi,2026-05-25,1,1,1,1,0,0,0.0
facebook,englishbhashi,2026-06-08,0,0,1,0,1,0,0.0
