pipeline,competitor,language,ads,winners,win_ratio
facebook,english-seekho,Hindi,1730,96,0.055
facebook,english-seekho,Bengali,78,19,0.244
facebook,english-seekho,Gujarati,20,0,0.0
facebook,english-seekho,English,4,0,0.0
facebook,english-seekho,Marathi,4,0,0.0
