pipeline,competitor,kind,key,ads
facebook,loora,status,agree,61
facebook,loora,status,disagree,7
facebook,loora,status,copy_only,3
facebook,loora,mismatch,audio=Spanish | copy=English,5
facebook,loora,mismatch,audio=English | copy=Spanish,2
