ad_id,page_name,version_count,distinct_start_dates,first_start,last_start,relaunch_span_days,kind,platforms_changed,aspect_changed,destination_changed,cta_changed
4482617731983250,Loora,7,1,2026-06-08,2026-06-08,,simultaneous_duplicate,false,false,false,false
1324645853195533,Loora,6,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1537509541396440,Loora,6,1,2026-06-13,2026-06-13,,simultaneous_duplicate,false,false,false,false
1519379893216673,Loora,4,1,2026-06-16,2026-06-16,,simultaneous_duplicate,false,false,false,false
1008762784856261,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1015808140933762,Loora,3,1,2026-06-13,2026-06-13,,simultaneous_duplicate,false,false,false,false
1023280550147808,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1028258436260871,Loora,3,1,2026-06-13,2026-06-13,,simultaneous_duplicate,false,false,false,false
1183362857252391,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1315848836760274,Loora,3,1,2026-06-06,2026-06-06,,simultaneous_duplicate,false,false,false,false
1334834655321570,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1378709630744117,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1410322400818020,Loora,3,1,2026-04-29,2026-04-29,,simultaneous_duplicate,false,false,false,false
1482627169799430,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1485151516165713,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1536628524714927,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
1671097577430352,Loora,3,1,2026-06-13,2026-06-13,,simultaneous_duplicate,false,false,false,false
1680023209867820,Loora,3,1,2026-06-13,2026-06-13,,simultaneous_duplicate,false,false,false,false
2011493032906951,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
2787277954991012,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
3061153714077391,Loora,3,1,2026-06-14,2026-06-14,,simultaneous_duplicate,false,false,false,false
