pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,zinglish,2026-05-25,30,5,31,31,0,31,1.0
facebook,zinglish,2026-06-22,7,1,7,7,0,0,0.0
facebook,zinglish,2026-06-29,2,0,3,2,1,0,0.0
