pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,wispr-flow,2026-05-25,191,5,476,367,0,24,0.05
facebook,wispr-flow,2026-06-15,3,0,7,3,4,0,0.0
