pipeline,competitor,language,ads,winners,win_ratio
facebook,wispr-flow,English,362,12,0.033
facebook,wispr-flow,unknown,7,0,0.0
facebook,wispr-flow,Hindi,3,0,0.0
facebook,wispr-flow,Hinglish,2,0,0.0
