pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,speak,743138162511061,1475096187161143,2026-06-04,512,514,true,,
facebook,speak,743138162511061,2029465427651889,2026-06-04,518,520,true,,
facebook,speak,743138162511061,2411138386051339,2026-06-04,526,528,true,,
facebook,speak,743138162511061,859169596739047,2026-06-04,527,529,true,,
facebook,speak,743138162511061,1700372174647559,2026-06-04,530,532,true,,
facebook,speak,743138162511061,1379955640856840,2026-06-04,532,534,true,,
facebook,speak,743138162511061,2085816542366620,2026-06-04,534,536,true,,
facebook,speak,743138162511061,2571694266585239,2026-06-04,540,542,true,,
facebook,speak,743138162511061,4221146091531359,2026-06-04,547,549,true,,
facebook,speak,743138162511061,842274335206384,2026-06-04,548,550,true,,
facebook,speak,743138162511061,4287119811554901,2026-06-04,549,551,true,,
facebook,speak,743138162511061,27763920326544969,2026-06-04,551,553,true,,
facebook,speak,743138162511061,1742458380080329,2026-06-04,553,555,true,,
facebook,speak,743138162511061,1541114090780445,2026-06-04,554,556,true,,
facebook,speak,743138162511061,2060759588125654,2026-06-04,555,557,true,,
facebook,speak,743138162511061,1565514135181248,2026-06-04,559,561,true,,
facebook,speak,743138162511061,2525288257933822,2026-06-04,560,562,true,,
facebook,speak,743138162511061,1018341740871630,2026-06-04,561,563,true,,
facebook,speak,743138162511061,2185304055579000,2026-06-04,562,564,true,,
facebook,speak,743138162511061,1009694264850933,2026-06-04,563,565,true,,
facebook,speak,743138162511061,1013297204482617,2026-06-04,564,566,true,,
facebook,speak,743138162511061,1195567683634181,2026-06-04,566,568,true,,
facebook,speak,743138162511061,2759422667774476,2026-06-04,568,570,true,,
facebook,speak,743138162511061,829136983341474,2026-06-04,570,572,true,,
facebook,speak,743138162511061,882604811159938,2026-06-04,572,574,true,,
facebook,speak,743138162511061,963387410066688,2026-06-04,573,575,true,,
facebook,speak,743138162511061,1352426086788066,2026-06-04,574,576,true,,
facebook,speak,743138162511061,1509283053980333,2026-06-04,579,581,true,,
facebook,speak,743138162511061,1309859301293585,2026-06-04,588,590,true,,
facebook,speak,743138162511061,2180878569135448,2026-06-04,589,591,true,,
facebook,speak,743138162511061,1715322726154255,2026-06-04,597,599,true,,
facebook,speak,743138162511061,798323059884218,2026-06-04,598,600,true,,
facebook,speak,743138162511061,830327469913812,2026-06-04,600,602,true,,
facebook,speak,743138162511061,3954691074837276,2026-06-04,604,606,true,,
facebook,speak,743138162511061,980586644823157,2026-06-04,608,610,true,,
facebook,speak,743138162511061,966344269523368,2026-06-04,610,612,true,,
facebook,speak,743138162511061,1670273597582945,2026-06-04,611,613,true,,
facebook,speak,743138162511061,2377815052744871,2026-06-04,614,616,true,,
facebook,speak,743138162511061,3125394737645344,2026-06-04,617,619,true,,
