pipeline,competitor,kind,key,ads
facebook,duolingo,status,agree,40
facebook,duolingo,status,copy_only,23
facebook,duolingo,status,disagree,2
facebook,duolingo,mismatch,audio=Spanish | copy=English,1
facebook,duolingo,mismatch,"audio=Arabic, Spanish | copy=Arabic",1
