pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,loora,105478174979714,Loora,1315848836760274,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0001,translation_replica,replica,2026-06-11,2026-06-26,12,3,2026-06-06,20,False,6,21,11,7,False,True,52,0.583,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1622949502114966,Video,English,ai+human,split-screen,mixed,loora-g0000,exact_replica,replica,2026-06-22,2026-06-30,5,2,2026-06-13,17,False,6,17,7,6,False,True,52,0.6,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1032668232984789,Video,,,,,,,,2026-07-08,2026-07-21,14,3,2026-07-06,15,False,6,48,11,11,False,True,92,0.714,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1591820286063298,Video,,,,,,,,2026-07-12,2026-07-21,10,3,2026-07-06,15,False,6,29,7,7,False,True,92,0.8,True,True,False,winner,high
facebook,loora,105478174979714,Loora,979523084446611,Video,English,ai+human,split-screen,mixed,loora-g0007,exact_replica,replica,2026-05-27,2026-07-23,32,6,2026-05-09,75,False,7,16,10,8,True,False,92,1.0,True,True,False,strong_winner,high
facebook,loora,105478174979714,Loora,1495982208735813,Video,English,ai+human,split-screen,mixed,loora-g0009,exact_replica,replica,2026-06-24,2026-07-23,29,5,2026-05-27,57,False,7,20,10,11,True,False,92,1.0,True,True,False,strong_winner,high
facebook,loora,105478174979714,Loora,1323640396530842,Video,,,,,,,,2026-07-01,2026-07-11,11,2,2026-06-13,28,False,7,14,8,7,False,True,53,0.909,True,True,False,winner,high
facebook,loora,105478174979714,Loora,858897586932065,Video,,,,,,,,2026-07-12,2026-07-13,2,2,2026-06-29,14,False,7,7,7,7,False,True,50,1.0,True,True,False,loser,low
facebook,loora,105478174979714,Loora,1544865937296078,Video,,,,,,,,2026-07-14,2026-07-23,10,2,2026-07-12,11,False,7,56,17,7,True,False,92,0.8,True,True,False,undecided,high
facebook,loora,105478174979714,Loora,2014484739469344,Video,English,ai+human,split-screen,mixed,loora-g0007,exact_replica,replica,2026-05-27,2026-05-27,1,1,2026-04-14,43,False,8,8,8,8,False,True,50,1.0,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1482627169799430,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0005,exact_replica,replica,2026-06-17,2026-06-24,4,2,2026-06-14,10,False,8,40,40,8,False,True,52,0.25,True,False,False,loser,low
facebook,loora,105478174979714,Loora,1036628765435067,Video,,,,,,,,2026-07-01,2026-07-11,11,2,2026-06-29,12,False,8,37,12,8,False,True,53,0.545,True,True,False,loser,low
facebook,loora,105478174979714,Loora,1517210366770820,Video,,,,,,,,2026-07-14,2026-07-21,8,2,2026-07-06,15,False,8,10,8,8,False,True,92,1.0,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1261073506142042,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0005,original,original,2026-05-27,2026-06-04,2,2,2026-04-19,46,False,9,10,10,9,False,True,50,1.0,True,True,False,strong_winner,high
facebook,loora,105478174979714,Loora,1726347351867581,Video,English,ai+human,split-screen,mixed,loora-g0000,exact_replica,replica,2026-06-11,2026-06-13,3,1,2026-06-06,7,False,9,11,9,9,False,True,38,0.667,True,True,False,loser,low
facebook,loora,105478174979714,Loora,2153620542128180,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0003,exact_replica,replica,2026-06-11,2026-07-11,26,5,2026-06-06,35,False,9,32,17,9,False,True,53,0.231,True,False,False,winner,high
facebook,loora,105478174979714,Loora,1015808140933762,Video,English,ai+human,split-screen,mixed,loora-g0018,original,original,2026-06-16,2026-07-01,10,3,2026-06-13,18,False,9,37,12,9,False,True,52,0.5,True,True,False,winner,high
facebook,loora,105478174979714,Loora,860205167153717,Video,,,,,,,,2026-06-28,2026-07-05,8,2,2026-06-13,22,False,9,13,11,11,False,True,47,0.625,True,True,False,winner,high
facebook,loora,105478174979714,Loora,27476111168712835,Video,,,,,,,,2026-07-16,2026-07-21,6,2,2026-07-13,8,False,9,20,12,9,False,True,92,1.0,True,True,False,loser,low
facebook,loora,105478174979714,Loora,1608766093513896,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0002,original,original,2026-05-27,2026-06-23,11,5,2026-04-19,65,False,10,12,11,10,False,True,52,0.545,True,True,False,strong_winner,high
facebook,loora,105478174979714,Loora,2029463127653994,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0001,translation_replica,replica,2026-06-22,2026-07-08,16,3,2026-06-14,24,False,10,35,14,10,False,True,53,0.438,True,False,False,winner,high
facebook,loora,105478174979714,Loora,1022685673793861,Video,,,,,,,,2026-07-15,2026-07-22,8,2,2026-07-13,9,False,10,50,33,10,False,True,92,0.375,True,False,False,loser,low
facebook,loora,105478174979714,Loora,1010723465141097,Video,,,,,,,,2026-07-22,2026-07-23,2,1,2026-07-13,10,False,10,11,10,10,True,False,75,1.0,True,True,False,new,high
