pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1693272128369212,2026-05-28,132,132,2026-05-14,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1991194838457428,2026-05-28,133,133,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,779934641442026,2026-05-28,134,134,2026-03-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2144735312980587,2026-05-28,135,135,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2392565571241752,2026-05-28,136,136,2026-04-17,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1848657349135306,2026-05-28,137,137,2026-05-20,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2221940701670625,2026-05-28,138,138,2026-04-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1313957967544089,2026-05-28,139,139,2026-05-25,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1821872582132277,2026-05-28,140,140,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1654095172593612,2026-05-28,141,141,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1741096123979946,2026-05-28,142,142,2026-05-25,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1671558224024424,2026-05-28,143,143,2026-04-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,4540183359603117,2026-05-28,144,144,2026-05-25,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,966911813063953,2026-05-28,145,145,2026-04-14,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1514068243411441,2026-05-28,146,146,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2501024687007117,2026-05-28,147,147,2026-05-08,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,3485337691632140,2026-05-28,148,148,2026-05-07,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1054578564415071,2026-05-28,149,149,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1965202884093713,2026-05-28,150,150,2026-03-18,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1271532098297720,2026-05-28,151,151,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1926642771308403,2026-05-28,152,152,2026-05-12,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,868944338881931,2026-05-28,153,153,2026-05-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1001042789123219,2026-05-28,154,154,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1666548014665342,2026-05-28,155,155,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,3126822650852109,2026-05-28,156,156,2026-05-28,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1476627103972243,2026-05-28,157,157,2026-04-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2146938309462431,2026-05-28,158,158,2026-03-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,996211356202159,2026-05-28,159,159,2026-05-07,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1363042932311563,2026-05-28,160,160,2026-05-27,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,954393050746866,2026-05-28,161,161,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1018236867230257,2026-05-28,162,162,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1338842641465163,2026-05-28,163,163,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,885258224378825,2026-05-28,164,164,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1342382754414385,2026-05-28,165,165,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1540221827661229,2026-05-28,166,166,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,975957768558035,2026-05-28,167,167,2026-05-12,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1910580456255091,2026-05-28,168,168,2026-05-27,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1522487359402152,2026-05-28,169,169,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1330767692270633,2026-05-28,170,170,2026-05-15,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,837350262293792,2026-05-28,171,171,2026-05-18,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1251612453722653,2026-05-28,172,172,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1457959762768330,2026-05-28,173,173,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,958341103289613,2026-05-28,174,174,2026-03-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1503189567968591,2026-05-28,175,175,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1543203390649865,2026-05-28,176,176,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2169965917121590,2026-05-28,177,177,2026-05-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,846788691309766,2026-05-28,178,178,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1500637091756947,2026-05-28,179,179,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1581324732932560,2026-05-28,180,180,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1893245948060899,2026-05-28,181,181,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,36880572181541504,2026-05-28,182,182,2026-05-25,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1521837452697043,2026-05-28,183,183,2026-03-19,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1587102653011899,2026-05-28,184,184,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1541679123564908,2026-05-28,185,185,2026-03-05,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1013365624374157,2026-05-28,186,186,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1890152275029480,2026-05-28,187,187,2026-05-26,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1285326387122552,2026-05-28,188,188,2026-05-13,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1670849824356340,2026-05-28,189,189,2026-03-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1630887101331922,2026-05-28,190,190,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1286915963596954,2026-05-28,191,191,2026-05-07,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1989819861903156,2026-05-28,192,192,2026-05-25,Video,false
