pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
facebook,pw-talk,631251720065425,PW Talk,2349362925531593,2026-06-15,1,1,2026-03-04,Image,false
facebook,pw-talk,631251720065425,PW Talk,1668604657811317,2026-06-15,2,2,2026-05-18,Image,false
facebook,pw-talk,631251720065425,PW Talk,1542662291202539,2026-06-15,4,3,2026-05-20,Video,false
facebook,pw-talk,631251720065425,PW Talk,1324708162884438,2026-06-15,6,4,2026-04-26,Video,false
facebook,pw-talk,631251720065425,PW Talk,2118422772240776,2026-06-15,8,5,2026-03-26,Video,false
facebook,pw-talk,631251720065425,PW Talk,1281960683918283,2026-06-15,9,6,2026-05-05,Video,false
facebook,pw-talk,631251720065425,PW Talk,1724197118748377,2026-06-15,10,7,2026-05-05,Video,false
facebook,pw-talk,631251720065425,PW Talk,1007300494972391,2026-06-15,11,8,2026-05-03,Video,false
facebook,pw-talk,631251720065425,PW Talk,956692124024564,2026-06-15,12,9,2026-05-21,Video,false
facebook,pw-talk,631251720065425,PW Talk,1023770803552722,2026-06-15,13,10,2026-05-17,Video,false
facebook,pw-talk,631251720065425,PW Talk,941613088747926,2026-06-15,15,11,2026-05-14,Video,false
facebook,pw-talk,631251720065425,PW Talk,1545545373757343,2026-06-15,16,12,2026-05-17,Video,false
facebook,pw-talk,631251720065425,PW Talk,982593771083391,2026-06-15,17,13,2026-05-24,Video,false
facebook,pw-talk,631251720065425,PW Talk,1470471397608970,2026-06-15,18,14,2026-05-20,Video,false
facebook,pw-talk,631251720065425,PW Talk,954609790259093,2026-06-15,19,15,2026-04-19,Video,false
facebook,pw-talk,631251720065425,PW Talk,2147829419384950,2026-06-15,22,16,2026-05-03,Video,false
facebook,pw-talk,631251720065425,PW Talk,1616029346132773,2026-06-15,23,17,2026-05-27,Image,false
facebook,pw-talk,631251720065425,PW Talk,1459802412348522,2026-06-15,25,18,2026-03-04,Video,false
facebook,pw-talk,631251720065425,PW Talk,1271072245182250,2026-06-15,26,19,2026-05-21,Video,false
facebook,pw-talk,631251720065425,PW Talk,26964483843185846,2026-06-15,27,20,2026-05-01,Video,false
facebook,pw-talk,631251720065425,PW Talk,1510838230642930,2026-06-15,28,21,2026-04-07,Video,false
facebook,pw-talk,631251720065425,PW Talk,1888603368477515,2026-06-15,29,22,2026-03-04,Video,false
facebook,pw-talk,631251720065425,PW Talk,1484334716724850,2026-06-15,30,23,2026-05-04,Video,false
