ad_library_id,creative_index_in_ad,ad_media_type,creative_aspect_ratio,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1922127132510074,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An9Ttm1UrkvsnLcuGFg5n1mdVdTalQfnNpnImPMLD25DFq1G2kZra5VZgvy5FtY3bu_rzEyVQgV_AavYqfJ1cE-ClDkAzYyxsxQ2WM7khtZmIw6phrN0mQXVeXiYJ_HULu8xlmzr8OM-f2TrJg.jpg?_nc_gid=_1TefyY5PeBmtPbN_sGJAg&_nc_oc=AdreaTsW1gJwTc0B88nS4rpmCbSn1RV8He17yXdPeA_zlwo2v1PsEwwJhKwUOx3MZI4&strext=1&ccb=10-5&oh=00_Af6r4t-uuCXzdiBHB0-GKFF38vuU8YKVWiNwwvQ2-khWrg&oe=6A40D434&_nc_sid=d2eee0,2026-06-28T07:58:44.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1922127132510074.jpg
916654911269112,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An8NwQ4OddbZ5VwnKcjkmL7AW6OSueb9aSuMafyB5rZ2bmtUtxLCjKVrAWb6_dmCdI0v91mGnU9X13RUcEQnLDHOnJWZ3vYOO3QMTLRr_kl0ZmwEBxl6ZNdkKdqIV7pzwb-uW5OTtkG-VngB.jpg?_nc_gid=_1TefyY5PeBmtPbN_sGJAg&_nc_oc=AdoYLPCsy0DwpbPDdU0nikJz4F5TFSg1yTSlzMlg5iCh8c52bsmUXUQ1tQm54ctB9Cc&strext=1&ccb=10-5&oh=00_Af5dXrJm1xGLL_-K6USzWgVPmjcAWVN_yIOCvNGhXZa85g&oe=6A40D001&_nc_sid=d2eee0,2026-06-28T07:40:49.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/916654911269112.jpg
1289337759988263,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An8q6b7OHeC9_hoVPurodcIdClnZnZ_OsPFOVmozbEs7_2EP8Zh7a3QFtXraIPci2r_HuOWYNbsJPJX16umCaYK1OeLtE3ud26_edTuNTPqEQruqCFmc7tFNaGqbV2JcTGbhKwrrY-GfQcTosA.jpg?_nc_gid=A5M1SKf_ieciEhGKcJTWSg&_nc_oc=Adqr8YDnhXBkXIy-7G9ZVD7SsMwnDZPM_U79GRMhp0XKmqQjYRDFEb5U5nzHVc53dNE&strext=1&ccb=10-5&oh=00_Af67XUzW8iUxVMB5kUbA2RUjt7GNicjCoE1E0Ddx0ryHig&oe=6A40E343&_nc_sid=d2eee0,2026-06-28T09:02:59.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1289337759988263.jpg
1686886492726937,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An8Oacu3bSAy_VF9pA0-kzs6mvHMnlu0-mJn0X5IkPKH_tqjVgqkYmzAzksG682xu_H5UGWViWrAuCtBgp3m5Pj3RHNY8fRDpovejdr6iDHDC5uuMJeD0v3sH1bFCKWoQ3WebeevqjBTaJ70Ow.jpg?_nc_gid=wVm_VrMveyiu449CUF_mKQ&_nc_oc=Ado0VOYaEkbp4-vfe9LQdhNM-r4KkImKzqZnkKlyC2S5o7hPQ5TiDM3R4cmuwCM61fk&strext=1&ccb=10-5&oh=00_Af5bWJbmikYigwWpl_3w-7mFG8jb2h1F-_tQCeLC52_Gyw&oe=6A40D403&_nc_sid=d2eee0,2026-06-28T07:57:55.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1686886492726937.jpg
916495814523801,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An81GJAQyh7x-OxACs-C-qj0MSYa1_H8kOUG8dnde3kT4lzUnMuMzJgxAi6DtBd6ZFt20D-_1dmCHv5fhMzBa47SyZb6ZJbs_lJiF0FdjfqMn-oKexDdd9Xao6iOsSNto_DU6TWCtlEdHl0tAg.jpg?_nc_gid=wVm_VrMveyiu449CUF_mKQ&_nc_oc=AdpeByQx6Im0z8cnCKqFjSIcO8YfINXFTXxXH0Cq6s9KHEMto2vjqmnMli5rUmEB5q4&strext=1&ccb=10-5&oh=00_Af5iTepL5MEB0Mvd2NYQf-UH00H86sl2rWUdJwA5XPl4-w&oe=6A40CAE1&_nc_sid=d2eee0,2026-06-28T07:18:57.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/916495814523801.jpg
1288204426712822,0,Image,,,,2026-05-29,
3599579626858496,0,Image,,,,2026-05-29,
1501827214861543,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An9RTwXtBE7UilGjBu71jFpZoj1kZWaxWbD0OT5frZqhM-sWnaPVL_0ROaqnRa2atQ_x6P1_r5U9cXVfX4WwzpFAeC-7QRunMLOVkFMdNIDO7Mg7gESW9G7d5bHyTpbmRKGYGyJh2leIUCixRw.jpg?_nc_gid=Iq_iEUSZDuqpBwP9465Qgw&_nc_oc=AdrpEwwsL5fpUMUoqxsPduAxr2lsxfapLGPeyopMO0Y2HJBsIKQJoBNmmqCZBEK-FAo&strext=1&ccb=10-5&oh=00_Af7oNCQ6k7LrSlx5jUViCvTRVhYyNsJo7nVj5b3EBK8zBg&oe=6A40C881&_nc_sid=d2eee0,2026-06-28T07:08:49.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1501827214861543.jpg
962197283285695,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An-Pm2VP7lqaIAEhISj5fAzsoyw8xkTbAEUwY7OtQITCSauCr5J20moiXKD3QZ-cEo5brBU38WjGy0vTGx6Nu5r1UZKNwelDhpzSASF7r6WbszqnHeZHgta1WPojjm-lDlOKoLaF4VdRxBEAqg.jpg?_nc_gid=gzoeIfcv-UqkSGcVu1ySJg&_nc_oc=AdpJqsK448cSCSK079PLRuB9x8SYiP9OC1C_jZQcHl3ySSZQvsOlUgOBsfbzAeXubOg&strext=1&ccb=10-6&oh=00_Af6Fc1iFrG9QELnWq_uOdTN6XtfiwyeyAPHSd5RAWrGpIA&oe=6A40D1EB&_nc_sid=d2eee0,2026-06-28T07:48:59.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/962197283285695.jpg
2300825397060071,0,Image,9:16,https://scontent.fblr22-2.fna.fbcdn.net/m1/v/t0.49642-6/An-3k0edg9TCevuWx4ShSSb_C1WSF4z4oJIMl5cfCfklesrPdQgH_0MucggPDikXGv2m_8x2g-1fbTCp0Q0yI0ezegIPnjLJWMbQI8akmAUgfiotmKCKsXuk4uMeMekBzdAhw4CrDaCAnrvkzA.jpg?_nc_gid=Ueze5CY7Oxq2JMeI7MVD3g&_nc_oc=AdoZHrBQHdDh5f4zTIESHc3CI_NDfB3b-PfAeDIRKKLNF3XF7Zvn4rMtUQ2hwBTJIZ0&strext=1&ccb=10-5&oh=00_Af7tioD-AxFJkESEFcrcsApI442EQ3Lrd1QJGzjyVdzvRQ&oe=6A40CE63&_nc_sid=d2eee0,2026-06-28T07:33:55.000Z,2026-05-29,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2300825397060071.jpg
