ad_library_id,creative_index_in_ad,ad_media_type,creative_aspect_ratio,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
2082877685616766,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/651757652_1298232035502471_6779679984028124367_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=L1CGpeNynIwQ7kNvwHN0UM9&_nc_oc=AdoJWpf9RibGlpKUSg141Nil8L0AAgupTCRupyDIF1rB9hun_PQqJePdDhmei7vP0CA&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=uu_Io7Tiw-6gkSSlcOtXrQ&_nc_ss=7b2a8&oh=00_Af5xRwDd9nvKwaMZzh5cq_c5IRBD317DpLqLbuqXnR2pEw&oe=6A1F2A42,2026-06-02T19:08:50.000Z,2026-05-29
1941810183367141,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/681001677_2131335167661176_1078414294221914576_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=TSMYgEhw2uEQ7kNvwGmCWGa&_nc_oc=AdqFkBXXrCeVal5lw0WxwkitUFCmZT5pIln2skPvPLkl_itI0089UP50lzYZDh-b7GE&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=uu_Io7Tiw-6gkSSlcOtXrQ&_nc_ss=7b2a8&oh=00_Af4zNXr6UMdpNUbgVnFT_p53mmWwUVqNOf6qVVqOORMAqQ&oe=6A1F3544,2026-06-02T19:55:48.000Z,2026-05-29
1914120835969563,0,Image,,,,2026-05-29
4214221225495162,0,Image,,,,2026-05-29
2043007116261363,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/662031044_26969422002643257_4560098867797851374_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=go81dcgMNzIQ7kNvwG4MGZe&_nc_oc=AdpUXIbU9Lm-umasnQBwn5dmKMy7tMV42rajp38TJ6Qc0S3cLLmvThF2gRyvvoSVQZs&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=uu_Io7Tiw-6gkSSlcOtXrQ&_nc_ss=7b2a8&oh=00_Af5uftmOqgXfvdD4eaof7kmTlBHp0J6uAgGwY29kMhT3dg&oe=6A1F297C,2026-06-02T19:05:32.000Z,2026-05-29
1300698715612114,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/702603053_4277968295827752_5882905939980062856_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4dG0wuYoseoQ7kNvwEfkJEV&_nc_oc=AdovwCuMcoDxzz5NHDuNQ1nZDxJHOEMv48FR1ccSoyezjTntfqeyBdZOmXM5EzFbaMo&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af5aVOC2OQoCVENYPrbQHkHYWXUgbsrpaUEzFD3keqWM1A&oe=6A1F38EF,2026-06-02T20:11:27.000Z,2026-05-29
821510757383831,0,Image,,,,2026-05-29
27423498107248048,0,Image,,,,2026-05-29
949351501242658,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/699454825_1381952073955356_4909633745992002440_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=A_uAQnFozykQ7kNvwGAZDYY&_nc_oc=Adpr6Yw19Zbp5lL6h9pNx5VINhExg-5A2Vy6brp8yZ1eOW8ZoBKrag6Z04FB6bvqhb0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af5yWT3JYATrTelAvcppgJz7MOlZjYPJ11hLe9JZ13R5hw&oe=6A1F0A66,2026-06-02T16:52:54.000Z,2026-05-29
1597349364873646,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/660241659_1318470460378560_8358265412999356816_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=xyYZkFRVcR0Q7kNvwHbH5RF&_nc_oc=AdrkqjeGXPT6hMabR7JQ_fMbT7nhhPTA6j3enGBgmYf2CzRzNCkxkpBUbovmkEoIWrY&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af5HLgIqNHr9Fz0WLJo1YsNd3WB-jnv1HTjPprOKFTTaRg&oe=6A1F3C04,2026-06-02T20:24:36.000Z,2026-05-29
