impression_rank_row_rank,ad_library_id,ad_library_url,media_type,duration_s
7,2490626478079076,https://www.facebook.com/ads/library/?id=2490626478079076,Video,50.5
19,1008376008280324,https://www.facebook.com/ads/library/?id=1008376008280324,Video,109.5
30,27545658091701815,https://www.facebook.com/ads/library/?id=27545658091701815,Video,77.8
38,27417472307892610,https://www.facebook.com/ads/library/?id=27417472307892610,Video,82.8
43,835603072955889,https://www.facebook.com/ads/library/?id=835603072955889,Video,40.1
45,1753605869341627,https://www.facebook.com/ads/library/?id=1753605869341627,Video,202.4
48,2200879757377961,https://www.facebook.com/ads/library/?id=2200879757377961,Video,91.2
51,1302516825430257,https://www.facebook.com/ads/library/?id=1302516825430257,Video,56.3
53,1483037666208224,https://www.facebook.com/ads/library/?id=1483037666208224,Video,53.0
55,1052565497102220,https://www.facebook.com/ads/library/?id=1052565497102220,Video,207.4
56,876287251448118,https://www.facebook.com/ads/library/?id=876287251448118,Video,60.6
58,2078950623024665,https://www.facebook.com/ads/library/?id=2078950623024665,Video,79.8
65,2505471363291833,https://www.facebook.com/ads/library/?id=2505471363291833,Video,202.4
68,1719504072403935,https://www.facebook.com/ads/library/?id=1719504072403935,Video,84.5
70,2056613488574281,https://www.facebook.com/ads/library/?id=2056613488574281,Video,168.2
71,2092207258026410,https://www.facebook.com/ads/library/?id=2092207258026410,Video,58.7
74,984431433971622,https://www.facebook.com/ads/library/?id=984431433971622,Video,157.4
79,968883082730315,https://www.facebook.com/ads/library/?id=968883082730315,Video,40.1
82,995219973120049,https://www.facebook.com/ads/library/?id=995219973120049,Video,97.2
87,2230315987725301,https://www.facebook.com/ads/library/?id=2230315987725301,Video,72.6
