row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
17,17,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00374679349036580865,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00374679349036580865?region=IN,YouTubeVideo,2026-04-27,2356,1,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
18,18,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00374679349036580865,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00374679349036580865?region=IN,YouTubeVideo,2026-04-27,2356,2,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
19,19,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00426987352007639041,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00426987352007639041?region=IN,YouTubeVideo,2026-01-18,2356,0,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
20,20,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00426987352007639041,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00426987352007639041?region=IN,YouTubeVideo,2026-01-18,2356,1,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
21,21,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00426987352007639041,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00426987352007639041?region=IN,YouTubeVideo,2026-01-18,2356,2,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
22,22,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00426987352007639041,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00426987352007639041?region=IN,YouTubeVideo,2026-01-18,2356,3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
23,23,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00521681553999265793,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00521681553999265793?region=IN,YouTubeVideo,2025-10-04,2356,0,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
24,24,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00521681553999265793,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00521681553999265793?region=IN,YouTubeVideo,2025-10-04,2356,1,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
25,25,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00521681553999265793,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00521681553999265793?region=IN,YouTubeVideo,2025-10-04,2356,2,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
26,26,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00521681553999265793,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00521681553999265793?region=IN,YouTubeVideo,2025-10-04,2356,3,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
