ad_id,language
1000935449552618,English
1009996348169330,English
1017749350907847,Japanese
1020433583744483,English
1143622754604208,English
1208953758961208,English
1261073506142042,Spanish
1276705914633244,English
1286341193458429,English
1288587726756839,English
1312246001030850,English
1315848836760274,English
1332393458836467,English
1347418030649936,English
1399715815299179,English
1410322400818020,Spanish
1412389343988596,English
1466680661478322,English
1477343336919375,English
1489024535719287,English
1490005112129951,English
1519322489795780,English
1546272363585692,English
1556620752560045,English
1575036264038808,English
1581060787352516,English
1582553446724594,English
1600521857717578,English
1608766093513896,English
1619041622509778,English
1626068392526827,English
1633635301042962,English
1651325459631448,English
1654898552218834,English
1679747593034871,English
1726347351867581,English
1743087253793397,English
1758731028824393,English
1819504062758111,English
1861497244534107,English
1890705918285363,English
1905092613368632,English
1923073918386349,English
2014484739469344,English
2063273217925254,English
2065316954367727,English
2153620542128180,English
2257110451487366,English
2483405618767529,English
26472833265715362,English
26858246627159221,English
2816620738678016,English
2824622157869852,English
2920536348298813,English
3217172991801670,English
3920858908216732,English
4371337003141421,English
4468359470086868,English
818640181129690,English
827379027114172,English
828323076603145,English
869185468874772,English
887166504395248,English
920991640802146,English
956413676791922,English
957241043876808,English
979523084446611,English
987721023705930,English
989760113647100,English
990584049996241,English
999353006369035,English
