ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1294983332740325,speakx-g0124,1,original,unique,
1312620537668127,speakx-g0125,1,original,unique,
1314381756861108,speakx-g0126,1,original,unique,
1327836129169546,speakx-g0127,1,original,unique,
1333107758784573,speakx-g0128,1,original,unique,
1333380855312442,speakx-g0129,1,original,unique,
1339557674759234,speakx-g0130,1,original,unique,
1341044771217348,speakx-g0131,1,original,unique,
1342031744648586,speakx-g0132,1,original,unique,
1348762350434051,speakx-g0133,1,original,unique,
1359996982637929,speakx-g0134,1,original,unique,
1366359718626426,speakx-g0135,1,original,unique,
1384125720047598,speakx-g0136,1,original,unique,
1385223413421257,speakx-g0137,1,original,unique,
1385625296768441,speakx-g0138,1,original,unique,
1406313074589852,speakx-g0139,1,original,unique,
1447298590404255,speakx-g0140,1,original,unique,
1470861051315043,speakx-g0141,1,original,unique,
1494320365675491,speakx-g0142,1,original,unique,
1511111056828106,speakx-g0143,1,original,unique,
1518844083190295,speakx-g0144,1,original,unique,
1534951244867864,speakx-g0145,1,original,unique,
1543328573849703,speakx-g0146,1,original,unique,
1569837701108499,speakx-g0147,1,original,unique,
1598629301201879,speakx-g0148,1,original,unique,
1598944374618214,speakx-g0149,1,original,unique,
1607956950303032,speakx-g0150,1,original,unique,
1624410095245730,speakx-g0151,1,original,unique,
1627007201772082,speakx-g0152,1,original,unique,
1631437637912562,speakx-g0153,1,original,unique,
1635365307514500,speakx-g0154,1,original,unique,
1641975910360142,speakx-g0155,1,original,unique,
1646829209907293,speakx-g0156,1,original,unique,
1671433074080008,speakx-g0157,1,original,unique,
1676862793642995,speakx-g0158,1,original,unique,
1696524301725159,speakx-g0159,1,original,unique,
1702346954551106,speakx-g0160,1,original,unique,
1730346694625329,speakx-g0161,1,original,unique,
1751381559566795,speakx-g0162,1,original,unique,
1816385469321451,speakx-g0163,1,original,unique,
1865042314101385,speakx-g0164,1,original,unique,
1883151975705319,speakx-g0165,1,original,unique,
1913593379351763,speakx-g0166,1,original,unique,
2030240231207465,speakx-g0167,1,original,unique,
2048236592746332,speakx-g0168,1,original,unique,
2053832001834030,speakx-g0169,1,original,unique,
2055225678395208,speakx-g0170,1,original,unique,
2073537180176297,speakx-g0171,1,original,unique,
2076389589888535,speakx-g0172,1,original,unique,
2077159863678503,speakx-g0173,1,original,unique,
2105293576950861,speakx-g0174,1,original,unique,
2162968067812618,speakx-g0175,1,original,unique,
2165128834325739,speakx-g0176,1,original,unique,
2205072176896653,speakx-g0177,1,original,unique,
2217341015763503,speakx-g0178,1,original,unique,
2295536704309986,speakx-g0179,1,original,unique,
2380382949113659,speakx-g0180,1,original,unique,
2393357557844949,speakx-g0181,1,original,unique,
2504659850014715,speakx-g0182,1,original,unique,
26440235635678026,speakx-g0183,1,original,unique,
27292861753737186,speakx-g0184,1,original,unique,
3226076084220389,speakx-g0185,1,original,unique,
3357549721086679,speakx-g0186,1,original,unique,
3443849799125735,speakx-g0187,1,original,unique,
3907189146244683,speakx-g0188,1,original,unique,
4438025873093504,speakx-g0189,1,original,unique,
4495689713987746,speakx-g0190,1,original,unique,
767982765971645,speakx-g0191,1,original,unique,
839466612486237,speakx-g0192,1,original,unique,
847846551131630,speakx-g0193,1,original,unique,
878652348591010,speakx-g0194,1,original,unique,
880180717685885,speakx-g0195,1,original,unique,
884905214442278,speakx-g0196,1,original,unique,
928672226847609,speakx-g0197,1,original,unique,
931187749685280,speakx-g0198,1,original,unique,
931936369278461,speakx-g0199,1,original,unique,
937087548666909,speakx-g0200,1,original,unique,
937743845921852,speakx-g0201,1,original,unique,
951439150997123,speakx-g0202,1,original,unique,
952737910984432,speakx-g0203,1,original,unique,
962132652878187,speakx-g0204,1,original,unique,
969146279157123,speakx-g0205,1,original,unique,
993366446988196,speakx-g0206,1,original,unique,
998521345905657,speakx-g0207,1,original,unique,
999336602437836,speakx-g0208,1,original,unique,
1017961491189825,speakx-g0209,1,original,unique,
1264668848807533,speakx-g0210,1,original,unique,
1361741085811598,speakx-g0211,1,original,unique,
1541795334197554,speakx-g0212,1,original,unique,
4025885004370334,speakx-g0213,1,original,unique,
880800171143322,speakx-g0214,1,original,unique,
986106167606403,speakx-g0215,1,original,unique,
